ID BRAND,NAMA PRODUK,ID KATEGORI LEVEL 1,ID KATEGORI LEVEL 2,ID KATEGORI LEVEL 3,HARGA,HARGA DISKON,HARGA MODAL,POTONGAN GOLD,POTONGAN SILVER,POTONGAN BRONZE,BERAT,DESKRIPSI,DESKRIPSI SINGKAT
1,Nike Casual NC-074,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-080,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-081,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-084,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-085,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-086,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-088,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-091,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-092,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-095,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-096,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-097,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-098,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-100,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-102,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-103,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-104,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-105,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-106,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-107,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-108,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-110,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-117,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-118,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-122,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-123,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-124,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Running NK-029,9,6,64,205000,205000,205000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-035,9,6,64,230000,230000,230000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-050,9,6,64,205000,205000,205000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-066,9,6,64,230000,230000,230000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-067,9,6,64,205000,205000,205000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-068,9,6,64,205000,205000,205000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-069,9,6,64,205000,205000,205000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-075,9,6,64,205000,205000,205000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-076,9,6,64,205000,205000,205000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-077,9,6,64,205000,205000,205000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-085,9,6,64,205000,205000,205000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-087,9,6,64,205000,205000,205000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-091,9,6,64,205000,205000,205000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-100,9,6,64,230000,230000,230000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-106,9,6,64,230000,230000,230000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-108,9,6,64,230000,230000,230000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-110,9,6,64,230000,230000,230000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-117,9,6,64,205000,205000,205000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-125,9,6,64,250000,250000,250000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-126,9,6,64,250000,250000,250000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-127,9,6,64,260000,260000,260000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-129,9,6,64,250000,250000,250000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-133,9,6,64,250000,250000,250000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-138,9,6,64,295000,295000,295000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-139,9,6,64,295000,295000,295000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-140,9,6,64,295000,295000,295000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-141,9,6,64,295000,295000,295000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-142,9,6,64,295000,295000,295000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-144,9,6,64,295000,295000,295000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-145,9,6,64,295000,295000,295000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-146,9,6,64,295000,295000,295000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-147,9,6,64,295000,295000,295000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-149,9,6,64,295000,295000,295000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-150,9,6,64,250000,250000,250000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-151,9,6,64,250000,250000,250000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-157,9,6,64,250000,250000,250000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-162,9,6,64,250000,250000,250000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-163,9,6,64,250000,250000,250000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-164,9,6,64,250000,250000,250000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-166,9,6,64,250000,250000,250000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
1,Nike Running NK-170,9,6,64,215000,215000,215000,.,.,.,0.25,Sepatu Nike Running untuk aktifitas olahraga,Sepatu Running Nike
