ID PRODUCT,ID WARNA,UKURAN,SKU,KUANTITAS,MAXIMUM ORDER,IMAGE 1,IMAGE 2,IMAGE 3,IMAGE 4
955,3,All Size,JT-043,1,100,JT-043.jpg,.,.,.
956,6,All Size,JT-044,5,100,JT-044.jpg,.,.,.
957,5,All Size,JT-046,4,100,JT-046.jpg,.,.,.
958,5,All Size,JT-047,2,100,JT-047.jpg,.,.,.
959,3,All Size,JT-049,1,100,JT-049.jpg,.,.,.
960,3,All Size,JT-050,1,100,JT-050.jpg,.,.,.
961,5,All Size,JT-052,1,100,JT-052.jpg,.,.,.
962,5,All Size,JT-055,3,100,JT-055.jpg,.,.,.
963,5,All Size,JT-059,2,100,JT-059.jpg,.,.,.
964,5,All Size,JT-060,1,100,JT-060.jpg,.,.,.
965,5,All Size,JT-077,1,100,JT-077.jpg,.,.,.
966,4,All Size,JT-085,1,100,JT-085.jpg,.,.,.
967,6,All Size,JT-089,2,100,JT-089.jpg,.,.,.
968,4,All Size,JT-094,1,100,JT-094.jpg,.,.,.
969,5,All Size,JT-098,1,100,JT-098.jpg,.,.,.
970,5,All Size,JT-110,2,100,JT-110.jpg,.,.,.
971,7,All Size,JT-112,1,100,JT-112.jpg,.,.,.
972,7,All Size,JT-116,1,100,JT-116.jpg,.,.,.
973,7,All Size,JT-131,1,100,JT-131.jpg,.,.,.
974,5,All Size,JT-137,2,100,JT-137.jpg,.,.,.
975,3,All Size,JT-139,2,100,JT-139.jpg,.,.,.
976,5,All Size,JT-140,1,100,JT-140.jpg,.,.,.
977,4,All Size,JT-141,1,100,JT-141.jpg,.,.,.
978,5,All Size,JT-143,1,100,JT-143.jpg,.,.,.
979,3,All Size,JT-144,2,100,JT-144.jpg,.,.,.
980,3,All Size,JT-145,1,100,JT-145.jpg,.,.,.
981,3,All Size,JT-148,1,100,JT-148.jpg,.,.,.
982,3,All Size,JT-149,2,100,JT-149.jpg,.,.,.
983,5,All Size,JT-150,2,100,JT-150.jpg,.,.,.
984,3,All Size,JT-151,2,100,JT-151.jpg,.,.,.
985,3,All Size,JT-152,2,100,JT-152.jpg,.,.,.
986,3,All Size,JT-153,2,100,JT-153.jpg,.,.,.
987,7,All Size,JT-154,1,100,JT-154.jpg,.,.,.
988,7,All Size,JT-155,2,100,JT-155.jpg,.,.,.
989,7,All Size,JT-156,1,100,JT-156.jpg,.,.,.
990,7,All Size,JT-157,2,100,JT-157.jpg,.,.,.
991,7,All Size,JT-159,1,100,JT-159.jpg,.,.,.
992,4,All Size,JT-161,1,100,JT-161.jpg,.,.,.
993,4,All Size,JT-162,1,100,JT-162.jpg,.,.,.
994,4,All Size,JT-163,1,100,JT-163.jpg,.,.,.
995,4,All Size,JT-164,2,100,JT-164.jpg,.,.,.
996,4,All Size,JT-165,1,100,JT-165.jpg,.,.,.
998,4,All Size,JT-166,3,100,JT-166.jpg,.,.,.
999,3,All Size,KM-001,1,100,KM-001.jpg,.,.,.
1000,3,All Size,KM-003,2,100,KM-003.jpg,.,.,.
1001,3,All Size,KM-005,2,100,KM-005.jpg,.,.,.
